Name	multi/demuli	samples	align
berger/lab/Raw/C3N3NACXX_6_20140215B_20140225.bam	multi	16839	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_6_20140215B_20140225.bam	multi	16840	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_6_20140215B_20140225.bam	multi	16841	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_7_20140215B_20140225.bam	multi	16842	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_7_20140215B_20140225.bam	multi	16843	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_7_20140215B_20140225.bam	multi	16844	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_7_20140215B_20140225.bam	multi	16845	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_8_20140215B_20140225.bam	multi	16846	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_8_20140215B_20140225.bam	multi	16847	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_8_20140215B_20140225.bam	multi	16848	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_5_20140131B_20140203.bam	multi	16876	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_5_20140131B_20140203.bam	multi	16877	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_5_20140131B_20140203.bam	multi	16878	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_5_20140131B_20140203.bam	multi	16879	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_5_20140131B_20140203.bam	multi	16880	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_5_20140131B_20140203.bam	multi	16881	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_6_20140131B_20140203.bam	multi	16893	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_6_20140131B_20140203.bam	multi	16894	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_6_20140131B_20140203.bam	multi	16895	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_6_20140131B_20140203.bam	multi	16896	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_6_20140131B_20140203.bam	multi	16897	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_7_20140131B_20140203.bam	multi	16898	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_7_20140131B_20140203.bam	multi	16899	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_7_20140131B_20140203.bam	multi	16900	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_7_20140131B_20140203.bam	multi	16901	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_7_20140131B_20140203.bam	multi	16902	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_7_20140131B_20140203.bam	multi	16903	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_8_20140131B_20140203.bam	multi	16904	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_8_20140131B_20140203.bam	multi	16905	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_8_20140131B_20140203.bam	multi	16906	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_8_20140131B_20140203.bam	multi	16907	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_8_20140131B_20140203.bam	multi	16908	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3J4LACXX_8_20140131B_20140203.bam	multi	16909	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_1_20140131B_20140203.bam	multi	16910	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_1_20140131B_20140203.bam	multi	16911	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_1_20140131B_20140203.bam	multi	16912	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_1_20140131B_20140203.bam	multi	16913	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_1_20140131B_20140203.bam	multi	16914	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_1_20140131B_20140203.bam	multi	16915	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_2_20140131B_20140203.bam	multi	16916	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_2_20140131B_20140203.bam	multi	16917	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_2_20140131B_20140203.bam	multi	16918	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_2_20140131B_20140203.bam	multi	16919	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_2_20140131B_20140203.bam	multi	16920	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_2_20140131B_20140203.bam	multi	16921	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_3_20140131B_20140203.bam	multi	16922	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_3_20140131B_20140203.bam	multi	16923	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_3_20140131B_20140203.bam	multi	16924	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_3_20140131B_20140203.bam	multi	16925	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_3_20140131B_20140203.bam	multi	16926	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_3_20140131B_20140203.bam	multi	16927	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_4_20140131B_20140203.bam	multi	16928	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_4_20140131B_20140203.bam	multi	16929	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_4_20140131B_20140203.bam	multi	16930	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_4_20140131B_20140203.bam	multi	16931	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_4_20140131B_20140203.bam	multi	16932	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_4_20140131B_20140203.bam	multi	16933	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_5_20140131B_20140203.bam	multi	16934	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_5_20140131B_20140203.bam	multi	16935	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_5_20140131B_20140203.bam	multi	16936	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_6_20140131B_20140203.bam	multi	16937	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_6_20140131B_20140203.bam	multi	16938	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_6_20140131B_20140203.bam	multi	16939	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JPCACXX_6_20140131B_20140203.bam	multi	16940	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JF0ACXX_3_20140210B_20140213.bam	multi	17024	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JF0ACXX_3_20140210B_20140213.bam	multi	17025	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3JF0ACXX_3_20140210B_20140213.bam	multi	17026	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_2_20140423B_20140503.bam	multi	18698	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_2_20140423B_20140503.bam	multi	18699	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_2_20140423B_20140503.bam	multi	18700	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_2_20140423B_20140503.bam	multi	18701	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_3_20140423B_20140503.bam	multi	18702	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_3_20140423B_20140503.bam	multi	18703	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_3_20140423B_20140503.bam	multi	18704	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_3_20140423B_20140503.bam	multi	18705	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_4_20140423B_20140503.bam	multi	18706	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_4_20140423B_20140503.bam	multi	18707	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_4_20140423B_20140503.bam	multi	18708	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C41MNACXX_4_20140423B_20140503.bam	multi	18709	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C497YACXX_7_20140424B_20140426.bam	multi	19020	Ramesh
berger/lab/Raw/C497YACXX_7_20140424B_20140426.bam	multi	19021	Ramesh
berger/lab/Raw/C497YACXX_7_20140424B_20140426.bam	multi	19022	Ramesh
berger/lab/Raw/C497YACXX_7_20140424B_20140426.bam	multi	19023	Ramesh
berger/lab/Raw/C497YACXX_7_20140424B_20140426.bam	multi	19024	Ramesh
berger/lab/Raw/C497YACXX_7_20140424B_20140426.bam	multi	19025	Ramesh
berger/lab/Raw/C497YACXX_8_20140424B_20140426.bam	multi	19026	Ramesh
berger/lab/Raw/C497YACXX_8_20140424B_20140426.bam	multi	19027	Ramesh
berger/lab/Raw/C497YACXX_8_20140424B_20140426.bam	multi	19028	Ramesh
berger/lab/Raw/C497YACXX_8_20140424B_20140426.bam	multi	19029	Ramesh
berger/lab/Raw/C497YACXX_8_20140424B_20140426.bam	multi	19030	Ramesh
berger/lab/Raw/C5N3AANXX_7_20141028B_20141030.bam	multi	22452	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C5N3AANXX_7_20141028B_20141030.bam	multi	22453	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C5N3AANXX_7_20141028B_20141030.bam	multi	22454	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C5N3AANXX_7_20141028B_20141030.bam	multi	22455	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C5N3AANXX_7_20141028B_20141030.bam	multi	22456	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C5N3AANXX_7_20141028B_20141030.bam	multi	22457	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23953	Marchantia 
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23954	Marchantia 
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23955	Marchantia Male thalli rep-1
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23956	Marchantia Male thalli rep-2
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23957	Marchantia Male Young Reprod rep-1
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23958	Marchantia Male Young Reprod rep-2
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23959	Marchantia Female 3mm Reprod rep-1
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23960	Marchantia Female 3mm Reprod rep-2
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23961	Marchantia 10DAF rep-1
berger/lab/Raw/C6DYRANXX_2_20150218B_20150224.bam	multi	23962	Marchantia 10DAF rep-2
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24187	Marchantia Mpsperm_1
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24188	Marchantia Mpsperm_2
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24189	Marchantia Mpsperm_3
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24190	berger/lab/Aligned/C6KF5ANXX_5_20150123B_20150128/24190/sperm_TAIR10_rep1_24190_aligned.bam
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24191	berger/lab/Aligned/C6KF5ANXX_5_20150123B_20150128/24190/sperm_TAIR10_rep2_24191_aligned.bam
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24192	berger/lab/Aligned/C6KF5ANXX_5_20150123B_20150128/24192/sperm_TAIR10_rep3_24192_aligned.bam
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24193	Marchantia Male thalli rep-1
berger/lab/Raw/C6KF5ANXX_5_20150123B_20150128.bam	multi	24194	Marchantia 10DAF rep-1
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	25953	Marchantia 15 DAF embryo-1
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	25954	Marchantia 15 DAF embryo-2
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	25955	Marchantia 20 DAF Soft embryo-1
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	25956	Marchantia 20 DAF Soft embryo-2
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	25959	Marchantia Spore-1
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	25960	Marchantia Spore-2
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	26363 
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	26364
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	26365
berger/lab/Raw/C6DJWANXX_5_20150416B_20150420.bam	multi	26483
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29112	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29113	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29114	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29115	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29116	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29117	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29128	Ramesh
berger/lab/Raw/C7TY9ANXX_3_20150723B_20150725.bam	multi	29129	Ramesh
berger/lab/Raw/C7TY9ANXX_4_20150723B_20150725.bam	multi	29118	Ramesh
berger/lab/Raw/C7TY9ANXX_4_20150723B_20150725.bam	multi	29119	Ramesh
berger/lab/Raw/C7TY9ANXX_4_20150723B_20150725.bam	multi	29120	Ramesh
berger/lab/Raw/C7TY9ANXX_4_20150723B_20150725.bam	multi	29121	Ramesh
berger/lab/Raw/C7TY9ANXX_4_20150723B_20150725.bam	multi	29122	Ramesh
berger/lab/Raw/C757CANXX_7_20150731B_20150803.bam	multi	29844
berger/lab/Raw/C757CANXX_7_20150731B_20150803.bam	multi	29845
berger/lab/Raw/C757CANXX_7_20150731B_20150803.bam	multi	29846
berger/lab/Raw/C75J2ANXX_3_20150827B_20150907.bam	multi	29844
berger/lab/Raw/C75J2ANXX_3_20150827B_20150907.bam	multi	29845
berger/lab/Raw/C75J2ANXX_3_20150827B_20150907.bam	multi	29846
